run_id,direction,start_datetime,end_datetime,bars,start_open,end_close,range_high,range_low,bar_contexts
bear_001,bear,2026-05-13 19:12,2026-05-13 19:15,4,4697.98,4692.44,4699.04,4691.47,Bear breakout bar -> Bear breakout bar -> Bear breakout bar -> Bear breakout bar
bull_002,bull,2026-05-13 19:56,2026-05-13 19:58,3,4680.1,4684.62,4685.6,4678.75,Bull breakout bar -> Bull breakout bar -> Bull breakout bar
bull_003,bull,2026-05-13 20:18,2026-05-13 20:20,3,4687.18,4692.43,4693.43,4686.97,Bull breakout bar -> Bull breakout bar -> Bull breakout bar
bull_004,bull,2026-05-13 20:51,2026-05-13 20:54,4,4670.29,4683.07,4683.07,4670.14,Bull breakout bar -> Bull breakout bar -> Bull breakout bar -> Bull breakout bar
bear_005,bear,2026-05-13 20:58,2026-05-13 21:00,3,4682.24,4675.19,4682.43,4674.97,"Bear breakout bar, inside_bar -> Bear breakout bar -> Bear breakout bar"
bear_006,bear,2026-05-13 21:16,2026-05-13 21:19,4,4681.54,4674.08,4682.29,4673.48,Bear breakout bar -> Bear breakout bar -> Bear breakout bar -> Bear breakout bar
bear_007,bear,2026-05-13 21:43,2026-05-13 21:45,3,4687.56,4679.88,4688.05,4677.06,Bear breakout bar -> Bear breakout bar -> Bear breakout bar
bull_008,bull,2026-05-13 22:21,2026-05-13 22:23,3,4686.33,4689.74,4690.15,4685.66,"Bull breakout bar, inside_bar -> Bull breakout bar -> Bull breakout bar"
