datetime,open,high,low,close,bar_size,mid_price,body_size,body_ratio,bar_context,upper_tail,lower_tail,upper_tail_ratio,lower_tail_ratio,tail_context,close_vs_prior_high_low,breakout_depth_vs_prior,lookback_1_to_5
13/5/2026 22:23,4688.47,4690.15,4688.11,4689.74,2.04,4689.13,1.27,0.623,Bull breakout bar,0.41,0.36,0.201,0.176,"small_upper_tail, small_lower_tail",close_above_prior_high,0.97,1:higher_high_higher_low;2:higher_high_higher_low;3:inside_bar;4:outside_bar;5:higher_high_higher_low
13/5/2026 22:24,4689.75,4690.14,4687.91,4687.99,2.23,4689.03,1.76,0.789,Bear breakout bar,0.39,0.08,0.175,0.036,"small_upper_tail, almost_no_lower_tail",close_below_prior_low,0.12,1:lower_low_lower_high;2:higher_high_higher_low;3:higher_high_higher_low;4:inside_bar;5:outside_bar
13/5/2026 22:25,4687.95,4688.75,4687.43,4687.98,1.32,4688.09,0.03,0.023,"Bull reversal bar, Bull doji",0.77,0.52,0.583,0.394,"long_upper_tail, long_lower_tail",close_below_prior_high,0.00,1:lower_low_lower_high;2:lower_low_lower_high;3:higher_high_higher_low;4:higher_high_higher_low;5:inside_bar
13/5/2026 22:26,4687.99,4690.45,4687.88,4689.80,2.57,4689.17,1.81,0.704,Bull breakout bar,0.65,0.11,0.253,0.043,"small_upper_tail, almost_no_lower_tail",close_above_prior_high,1.05,1:higher_high_higher_low;2:lower_low_lower_high;3:lower_low_lower_high;4:higher_high_higher_low;5:higher_high_higher_low
13/5/2026 22:27,4689.82,4690.11,4687.80,4689.77,2.31,4688.96,0.05,0.022,"Bear reversal bar, Bear doji",0.29,1.97,0.126,0.853,"small_upper_tail, long_lower_tail",close_above_prior_low,0.00,1:lower_low_lower_high;2:higher_high_higher_low;3:lower_low_lower_high;4:lower_low_lower_high;5:higher_high_higher_low
13/5/2026 22:28,4689.75,4691.33,4689.06,4690.09,2.27,4690.20,0.34,0.150,"Bull reversal bar, Bull doji",1.24,0.69,0.546,0.304,"long_upper_tail, long_lower_tail",close_below_prior_high,0.00,1:higher_high_higher_low;2:lower_low_lower_high;3:higher_high_higher_low;4:lower_low_lower_high;5:lower_low_lower_high
13/5/2026 22:29,4690.10,4692.05,4690.04,4691.16,2.01,4691.05,1.06,0.527,Bull breakout bar,0.89,0.06,0.443,0.030,"long_upper_tail, almost_no_lower_tail",close_below_prior_high,0.00,1:higher_high_higher_low;2:higher_high_higher_low;3:lower_low_lower_high;4:higher_high_higher_low;5:lower_low_lower_high
13/5/2026 22:30,4691.15,4691.36,4686.66,4689.08,4.70,4689.01,2.07,0.440,"Bear reversal bar, Bear doji",0.21,2.42,0.045,0.515,"almost_no_upper_tail, long_lower_tail",close_below_prior_low,0.96,1:lower_low_lower_high;2:higher_high_higher_low;3:higher_high_higher_low;4:lower_low_lower_high;5:higher_high_higher_low
13/5/2026 22:31,4689.10,4692.05,4689.10,4690.84,2.95,4690.58,1.74,0.590,Bull breakout bar,1.21,0.00,0.410,0.000,"long_upper_tail, no_lower_tail",close_below_prior_high,0.00,1:higher_high_higher_low;2:lower_low_lower_high;3:higher_high_higher_low;4:higher_high_higher_low;5:lower_low_lower_high
13/5/2026 22:32,4690.85,4692.06,4689.39,4690.49,2.67,4690.73,0.36,0.135,Bear doji,1.21,1.10,0.453,0.412,"long_upper_tail, long_lower_tail",close_above_prior_low,0.00,1:higher_high_higher_low;2:higher_high_higher_low;3:lower_low_lower_high;4:higher_high_higher_low;5:higher_high_higher_low
13/5/2026 22:33,4690.50,4693.71,4690.40,4693.00,3.31,4692.06,2.50,0.755,Bull breakout bar,0.71,0.10,0.215,0.030,"small_upper_tail, almost_no_lower_tail",close_above_prior_high,0.94,1:higher_high_higher_low;2:higher_high_higher_low;3:higher_high_higher_low;4:lower_low_lower_high;5:higher_high_higher_low
13/5/2026 22:34,4693.03,4695.80,4692.78,4695.53,3.02,4694.29,2.50,0.828,Bull breakout bar,0.27,0.25,0.089,0.083,"almost_no_upper_tail, almost_no_lower_tail",close_above_prior_high,1.82,1:higher_high_higher_low;2:higher_high_higher_low;3:higher_high_higher_low;4:higher_high_higher_low;5:lower_low_lower_high
13/5/2026 22:35,4695.51,4696.33,4694.48,4695.61,1.85,4695.41,0.10,0.054,Bull doji,0.72,1.03,0.389,0.557,"long_upper_tail, long_lower_tail",close_below_prior_high,0.00,1:higher_high_higher_low;2:higher_high_higher_low;3:higher_high_higher_low;4:higher_high_higher_low;5:higher_high_higher_low
13/5/2026 22:36,4695.59,4697.26,4695.40,4696.31,1.86,4696.33,0.72,0.387,"Bull reversal bar, Bull doji",0.95,0.19,0.511,0.102,"long_upper_tail, small_lower_tail",close_below_prior_high,0.00,1:higher_high_higher_low;2:higher_high_higher_low;3:higher_high_higher_low;4:higher_high_higher_low;5:higher_high_higher_low
13/5/2026 22:37,4696.32,4698.52,4696.32,4698.20,2.20,4697.42,1.88,0.855,Bull breakout bar,0.32,0.00,0.145,0.000,"small_upper_tail, no_lower_tail",close_above_prior_high,0.94,1:higher_high_higher_low;2:higher_high_higher_low;3:higher_high_higher_low;4:higher_high_higher_low;5:higher_high_higher_low
13/5/2026 22:38,4698.18,4699.21,4697.35,4697.66,1.86,4698.28,0.52,0.280,Bear doji,1.03,0.31,0.554,0.167,"long_upper_tail, small_lower_tail",close_above_prior_low,0.00,1:higher_high_higher_low;2:higher_high_higher_low;3:higher_high_higher_low;4:higher_high_higher_low;5:higher_high_higher_low
13/5/2026 22:39,4697.67,4698.96,4697.06,4698.79,1.90,4698.01,1.12,0.589,Bull breakout bar,0.17,0.61,0.089,0.321,"almost_no_upper_tail, long_lower_tail",close_below_prior_high,0.00,1:lower_low_lower_high;2:higher_high_higher_low;3:higher_high_higher_low;4:higher_high_higher_low;5:higher_high_higher_low
13/5/2026 22:40,4698.96,4699.84,4697.62,4697.80,2.22,4698.73,1.16,0.523,Bear breakout bar,0.88,0.18,0.396,0.081,"long_upper_tail, almost_no_lower_tail",close_above_prior_low,0.00,1:higher_high_higher_low;2:lower_low_lower_high;3:higher_high_higher_low;4:higher_high_higher_low;5:higher_high_higher_low
