Date,Message
2026-03-04 16:10:00+07:00,"5165.65,5171.27,5163.06,5164.2"
2026-03-04 16:15:00+07:00,"5164.25,5175.28,5162.22,5174.98"
2026-03-04 16:20:00+07:00,"5174.97,5178.52,5173.38,5176.97"
2026-03-04 16:25:00+07:00,"5176.95,5177.25,5169.88,5170.76"
2026-03-04 16:30:00+07:00,"5170.82,5174.71,5169.06,5173.43"
2026-03-04 16:35:00+07:00,"5173.51,5185.11,5173.35,5183.66"
2026-03-04 16:40:00+07:00,"5183.59,5183.79,5178.84,5182.53"
2026-03-04 16:45:00+07:00,"5182.59,5184.98,5179.35,5182.44"
2026-03-04 16:50:00+07:00,"5182.33,5183.76,5178.76,5179.51"
2026-03-04 16:55:00+07:00,"5179.52,5182.46,5175.98,5182.35"
2026-03-04 17:00:00+07:00,"5182.37,5186.61,5182.3,5185.3"
2026-03-04 17:05:00+07:00,"5185.3,5195.04,5185.27,5194.97"
2026-03-04 17:10:00+07:00,"5194.94,5198.45,5189.27,5198.45"
2026-03-04 17:15:00+07:00,"5198.46,5202.44,5191.31,5192.76"
2026-03-04 17:20:00+07:00,"5192.73,5193.36,5186.82,5188.89"
2026-03-04 17:25:00+07:00,"5188.88,5192.42,5186.97,5188.09"
2026-03-04 17:30:00+07:00,"5188.1,5190.37,5181.65,5187.18"
2026-03-04 17:35:00+07:00,"5187.2,5188.32,5179.26,5187.96"
2026-03-04 17:40:00+07:00,"5187.95,5191.55,5184.23,5185.56"
2026-03-04 17:45:00+07:00,"5185.57,5187.47,5181.61,5187.39"
2026-03-04 17:50:00+07:00,"5187.38,5188.47,5183.78,5188.02"
2026-03-04 17:55:00+07:00,"5187.92,5193.96,5186.14,5189.98"
2026-03-04 18:00:00+07:00,"5190.08,5193.18,5189.16,5191.33"
2026-03-04 18:05:00+07:00,"5191.32,5192.16,5187.82,5191.33"
2026-03-04 18:10:00+07:00,"5191.25,5196.55,5190.91,5195.05"
2026-03-04 18:15:00+07:00,"5195.03,5195.79,5190.16,5191.63"
2026-03-04 18:20:00+07:00,"5191.64,5197.46,5190.4,5196.5"
2026-03-04 18:25:00+07:00,"5196.49,5197.69,5193.91,5195.01"
2026-03-04 18:30:00+07:00,"5195.03,5198.39,5193.98,5198.16"
2026-03-04 18:35:00+07:00,"5198.16,5201,5196.1,5197.08"
2026-03-04 18:40:00+07:00,"5197.09,5197.2,5191.05,5192.94"
2026-03-04 18:45:00+07:00,"5192.95,5194.4,5190.44,5192.06"
2026-03-04 18:50:00+07:00,"5192.08,5193.14,5187.55,5191.25"
2026-03-04 18:55:00+07:00,"5191.24,5194.54,5189.81,5192.11"
2026-03-04 19:00:00+07:00,"5192.15,5206.23,5192.12,5201.56"
2026-03-04 19:05:00+07:00,"5201.56,5202.15,5198.48,5199.92"
2026-03-04 19:10:00+07:00,"5199.93,5200.62,5196.84,5197.55"
2026-03-04 19:15:00+07:00,"5197.51,5197.8,5177.48,5183.94"
2026-03-04 19:20:00+07:00,"5183.94,5184.52,5179.21,5179.22"
2026-03-04 19:25:00+07:00,"5179.12,5182.44,5174.34,5178.25"
2026-03-04 19:30:00+07:00,"5178.24,5178.4,5168.36,5172.09"
2026-03-04 19:35:00+07:00,"5172.08,5174.97,5165.37,5167.19"
2026-03-04 19:40:00+07:00,"5167.18,5167.84,5156.24,5166.91"
2026-03-04 19:45:00+07:00,"5166.73,5173.12,5163.55,5171.86"
2026-03-04 19:50:00+07:00,"5171.93,5173.3,5168.02,5168.16"
2026-03-04 19:55:00+07:00,"5168.15,5171.74,5159.4,5171.22"
2026-03-04 20:00:00+07:00,"5171.26,5181.79,5170.94,5176.07"
2026-03-04 20:05:00+07:00,"5176.07,5188.65,5175.08,5188.31"
2026-03-04 20:10:00+07:00,"5188.38,5196.43,5187,5193.65"
2026-03-04 20:15:00+07:00,"5193.81,5195.46,5186.71,5188.21"
2026-03-04 20:20:00+07:00,"5188.22,5189.82,5179.14,5186.19"
2026-03-04 20:25:00+07:00,"5186.19,5195.35,5186.19,5192.31"
2026-03-04 20:30:00+07:00,"5192.35,5193.01,5184.02,5188.32"
2026-03-04 20:35:00+07:00,"5188.3,5191.01,5184.97,5185.92"
