Date,Message
2026-04-06T12:15:00.000+07:00,"24089.8,24095.2,24085,24093.7"
2026-04-06T12:20:00.000+07:00,"24093.6,24094.8,24079.7,24093.1"
2026-04-06T12:25:00.000+07:00,"24093,24093,24079.4,24079.4"
2026-04-06T12:30:00.000+07:00,"24079.9,24083.3,24063.6,24073.3"
2026-04-06T12:35:00.000+07:00,"24073.1,24073.8,24064.6,24067.2"
2026-04-06T12:40:00.000+07:00,"24067.4,24068,24051.3,24056.1"
2026-04-06T12:45:00.000+07:00,"24056.2,24060.8,24042,24044.7"
2026-04-06T12:50:00.000+07:00,"24044.8,24060.3,24043.7,24060.1"
2026-04-06T12:55:00.000+07:00,"24060.2,24066.2,24057,24060.5"
2026-04-06T13:00:00.000+07:00,"24060.1,24061,24047.9,24054.1"
2026-04-06T13:05:00.000+07:00,"24053.9,24081,24050.1,24074.6"
2026-04-06T13:10:00.000+07:00,"24074.7,24106.4,24072.5,24102.7"
2026-04-06T13:15:00.000+07:00,"24102.5,24103.3,24076.9,24079"
2026-04-06T13:20:00.000+07:00,"24078.9,24082.9,24065.5,24075.1"
2026-04-06T13:25:00.000+07:00,"24075.2,24076.5,24050.4,24055.7"
2026-04-06T13:30:00.000+07:00,"24055.4,24065.8,24045.2,24056.7"
2026-04-06T13:35:00.000+07:00,"24056.9,24060.1,24048.4,24059.6"
2026-04-06T13:40:00.000+07:00,"24059.5,24067,24051.7,24059.9"
2026-04-06T13:45:00.000+07:00,"24059.8,24063.1,24047.6,24061.8"
2026-04-06T13:50:00.000+07:00,"24061.1,24119.2,24057.4,24079.8"
2026-04-06T13:55:00.000+07:00,"24079.9,24090.6,24074.8,24085.6"
2026-04-06T14:00:00.000+07:00,"24085.5,24090.1,24056.8,24060.7"
2026-04-06T14:05:00.000+07:00,"24060.6,24065.6,24046.1,24048.7"
2026-04-06T14:10:00.000+07:00,"24048.8,24055.6,24036.3,24055.6"
2026-04-06T14:15:00.000+07:00,"24055.7,24083,24055.7,24068.7"
2026-04-06T14:20:00.000+07:00,"24069.6,24078.5,24054.4,24064.7"
2026-04-06T14:25:00.000+07:00,"24063.9,24076.2,24063.4,24067.4"
2026-04-06T14:30:00.000+07:00,"24067.3,24086.3,24063.8,24082.5"
2026-04-06T14:35:00.000+07:00,"24082.4,24098.7,24080.2,24090.1"
2026-04-06T14:40:00.000+07:00,"24090.2,24112.1,24082.2,24102.9"
2026-04-06T14:45:00.000+07:00,"24103,24125.9,24100,24122.3"
2026-04-06T14:50:00.000+07:00,"24122.1,24153.1,24117.3,24136.4"
2026-04-06T14:55:00.000+07:00,"24136.6,24154.4,24134.5,24138.2"
2026-04-06T15:00:00.000+07:00,"24138,24164.2,24137.9,24162.6"
2026-04-06T15:05:00.000+07:00,"24162.1,24165.9,24141.5,24156.7"
2026-04-06T15:10:00.000+07:00,"24157.2,24162,24147.8,24156.6"
2026-04-06T15:15:00.000+07:00,"24156.5,24166.8,24143.5,24147.7"
2026-04-06T15:20:00.000+07:00,"24148.5,24171.4,24147,24168.2"
2026-04-06T15:25:00.000+07:00,"24168.3,24189.2,24164.2,24178.1"
2026-04-06T15:30:00.000+07:00,"24178,24200.6,24173.2,24194.3"
2026-04-06T15:35:00.000+07:00,"24194.4,24220,24192.6,24210.7"
2026-04-06T15:40:00.000+07:00,"24210.8,24221.4,24207.1,24217"
2026-04-06T15:45:00.000+07:00,"24216.9,24219,24208,24214.7"
2026-04-06T15:50:00.000+07:00,"24214.8,24214.8,24192.3,24199"
2026-04-06T15:55:00.000+07:00,"24199.1,24208.6,24195,24197.4"
2026-04-06T16:00:00.000+07:00,"24197.5,24216.7,24195.5,24211.5"
2026-04-06T16:05:00.000+07:00,"24211.6,24225.5,24205.4,24209.5"
2026-04-06T16:10:00.000+07:00,"24209.4,24215.8,24202.8,24207"
2026-04-06T16:15:00.000+07:00,"24207.1,24215.8,24197.2,24213.5"
2026-04-06T16:20:00.000+07:00,"24213.4,24224.2,24202,24203.9"
2026-04-06T16:25:00.000+07:00,"24204.7,24211.7,24200.6,24210.7"
2026-04-06T16:30:00.000+07:00,"24210.6,24216.5,24207.3,24212"
2026-04-06T16:35:00.000+07:00,"24212.1,24213,24205.4,24207.4"
2026-04-06T16:40:00.000+07:00,"24207.3,24209.1,24197.5,24201.4"
2026-04-06T16:45:00.000+07:00,"24201.3,24207.1,24197.8,24200.8"
2026-04-06T16:50:00.000+07:00,"24200.7,24201,24161.2,24177.8"
2026-04-06T16:55:00.000+07:00,"24177.7,24185.3,24160.6,24166"
2026-04-06T17:00:00.000+07:00,"24166.1,24173.2,24154.8,24169.7"
2026-04-06T17:05:00.000+07:00,"24169.4,24185.6,24164.8,24184.1"
2026-04-06T17:10:00.000+07:00,"24184,24188.6,24175.7,24177.5"
2026-04-06T17:15:00.000+07:00,"24178.6,24181.7,24171.2,24176.4"
2026-04-06T17:20:00.000+07:00,"24175.8,24180,24168.7,24173.1"
2026-04-06T17:25:00.000+07:00,"24172.6,24175.9,24155.7,24173.3"
2026-04-06T17:30:00.000+07:00,"24173.1,24178.6,24164.3,24173.8"
2026-04-06T17:35:00.000+07:00,"24173.9,24184.7,24170.6,24174.4"
2026-04-06T17:40:00.000+07:00,"24174.6,24179.9,24168.7,24173.8"
2026-04-06T17:45:00.000+07:00,"24173.4,24175,24093.5,24151.4"
