Date,Message
2024-12-17 21:00:00+07:00,"2636.76,2642.03,2633,2636.84"
2024-12-17 22:00:00+07:00,"2636.92,2642.85,2636.02,2640.06"
2024-12-17 23:00:00+07:00,"2640.08,2641.4,2636.7,2638.97"
2024-12-18 00:00:00+07:00,"2638.77,2646.99,2637.96,2645.96"
2024-12-18 01:00:00+07:00,"2646,2649.11,2644.9,2647.34"
2024-12-18 02:00:00+07:00,"2647.41,2648.19,2645.21,2645.35"
2024-12-18 03:00:00+07:00,"2645.5,2646.88,2643.05,2643.61"
2024-12-18 04:00:00+07:00,"2643.62,2646.44,2643.5,2646.29"
2024-12-18 06:00:00+07:00,"2646.15,2647.63,2645.05,2647.34"
2024-12-18 07:00:00+07:00,"2647.27,2650.4,2646.47,2650.02"
2024-12-18 08:00:00+07:00,"2649.82,2651.83,2647.93,2650.72"
2024-12-18 09:00:00+07:00,"2651.11,2651.15,2646.81,2647.6"
2024-12-18 10:00:00+07:00,"2647.58,2648.66,2645.21,2645.88"
2024-12-18 11:00:00+07:00,"2645.69,2646.03,2642.6,2645.14"
2024-12-18 12:00:00+07:00,"2644.93,2649.63,2643.81,2647.36"
2024-12-18 13:00:00+07:00,"2647.53,2647.95,2644.5,2646.83"
2024-12-18 14:00:00+07:00,"2646.48,2647.46,2643.35,2644.72"
2024-12-18 15:00:00+07:00,"2644.61,2649.71,2642.1,2647.94"
2024-12-18 16:00:00+07:00,"2647.98,2649.29,2645.48,2646.93"
2024-12-18 17:00:00+07:00,"2646.91,2649.48,2646.13,2648.41"
2024-12-18 18:00:00+07:00,"2648.49,2649.4,2645.82,2646.15"
2024-12-18 19:00:00+07:00,"2646.23,2647.73,2643.39,2644.06"
2024-12-18 20:00:00+07:00,"2644.03,2647.44,2641.03,2644.02"
2024-12-18 21:00:00+07:00,"2643.93,2644.85,2636.92,2638.07"
2024-12-18 22:00:00+07:00,"2637.63,2638.39,2633.7,2638.31"
2024-12-18 23:00:00+07:00,"2638.19,2639.61,2632.98,2634.79"
2024-12-19 00:00:00+07:00,"2634.81,2639.99,2634.54,2636.03"
2024-12-19 01:00:00+07:00,"2636.04,2639.04,2635.24,2637.23"
2024-12-19 02:00:00+07:00,"2637.19,2637.19,2604.01,2604.52"
2024-12-19 03:00:00+07:00,"2604.61,2609.2,2587.18,2592.33"
2024-12-19 04:00:00+07:00,"2592.66,2595.47,2583.59,2585.75"
2024-12-19 06:00:00+07:00,"2584.29,2592.05,2583.16,2588.37"
2024-12-19 07:00:00+07:00,"2588.47,2597.13,2588.25,2595.24"
2024-12-19 08:00:00+07:00,"2595.03,2618.15,2593.28,2611.93"
2024-12-19 09:00:00+07:00,"2611.94,2614.09,2606.14,2612.06"
2024-12-19 10:00:00+07:00,"2611.98,2613.38,2607.76,2610.5"
2024-12-19 11:00:00+07:00,"2610.51,2611.47,2607.01,2609.21"
2024-12-19 12:00:00+07:00,"2609.08,2610.55,2606.48,2607.13"
2024-12-19 13:00:00+07:00,"2606.99,2614.26,2603.21,2612.89"
2024-12-19 14:00:00+07:00,"2613.01,2622.6,2611.77,2616.46"
2024-12-19 15:00:00+07:00,"2616.43,2619.22,2613.27,2618.26"
2024-12-19 16:00:00+07:00,"2618.5,2622.86,2618.32,2620.43"
2024-12-19 17:00:00+07:00,"2620.42,2626.34,2617.26,2619.59"
2024-12-19 18:00:00+07:00,"2619.49,2621.91,2616.06,2616.9"
2024-12-19 19:00:00+07:00,"2616.89,2616.89,2604.37,2606.42"
2024-12-19 20:00:00+07:00,"2606.4,2606.43,2595.16,2596.38"
2024-12-19 21:00:00+07:00,"2596.35,2600.93,2591.86,2592.54"
2024-12-19 22:00:00+07:00,"2592.47,2595.96,2587.02,2588.65"
2024-12-19 23:00:00+07:00,"2588.48,2596.58,2587.09,2591.88"
2024-12-20 00:00:00+07:00,"2591.93,2594.2,2590.51,2592.64"
2024-12-20 01:00:00+07:00,"2592.49,2600,2591.82,2599.49"
2024-12-20 02:00:00+07:00,"2599.52,2601.16,2596.8,2596.98"
2024-12-20 03:00:00+07:00,"2597.1,2600.33,2596.41,2596.77"
2024-12-20 04:00:00+07:00,"2596.77,2597.11,2592.93,2594.27"
2024-12-20 06:00:00+07:00,"2594.72,2595.89,2592.3,2593.49"
2024-12-20 07:00:00+07:00,"2593.48,2595.32,2590.3,2590.91"
2024-12-20 08:00:00+07:00,"2590.85,2604.03,2589.44,2603.93"
2024-12-20 09:00:00+07:00,"2603.62,2604.13,2595.44,2597.12"
2024-12-20 10:00:00+07:00,"2597.11,2599.15,2595.76,2598.53"
2024-12-20 11:00:00+07:00,"2598.44,2601.07,2597.48,2598.01"
2024-12-20 12:00:00+07:00,"2598.01,2601.36,2596.42,2600.27"
2024-12-20 13:00:00+07:00,"2600.28,2605.43,2598.95,2604.81"
2024-12-20 14:00:00+07:00,"2604.84,2607.57,2602.47,2606.19"
2024-12-20 15:00:00+07:00,"2606.2,2607.72,2604.4,2605.48"
2024-12-20 16:00:00+07:00,"2605.46,2606.67,2603.06,2605.1"
2024-12-20 17:00:00+07:00,"2605.06,2606.99,2604.05,2604.3"
2024-12-20 18:00:00+07:00,"2604.3,2604.74,2600.09,2603.69"
2024-12-20 19:00:00+07:00,"2603.68,2606.27,2602.1,2603.57"
2024-12-20 20:00:00+07:00,"2603.58,2614.08,2600.02,2609.61"
2024-12-20 21:00:00+07:00,"2609.52,2618.33,2608.43,2617.05"
2024-12-20 22:00:00+07:00,"2617.33,2631.15,2616.48,2630.37"
2024-12-20 23:00:00+07:00,"2630.53,2631.84,2622.43,2625.22"
2024-12-21 00:00:00+07:00,"2625.22,2627.58,2622.1,2625.69"
2024-12-21 01:00:00+07:00,"2625.62,2627.3,2623.43,2626.16"
2024-12-21 02:00:00+07:00,"2626.17,2629.38,2624.97,2627.9"
2024-12-21 03:00:00+07:00,"2627.98,2628.09,2622.28,2622.82"
2024-12-21 04:00:00+07:00,"2622.89,2624.14,2618.97,2623.21"
2024-12-23 06:00:00+07:00,"2625.68,2625.68,2621.45,2624.16"
2024-12-23 07:00:00+07:00,"2624.16,2625.29,2617.38,2621.88"
2024-12-23 08:00:00+07:00,"2621.46,2624.31,2618.35,2621.1"
2024-12-23 09:00:00+07:00,"2621.1,2627.4,2620.58,2625.82"
2024-12-23 10:00:00+07:00,"2625.81,2626.79,2622.09,2623.93"
2024-12-23 11:00:00+07:00,"2623.93,2626.48,2623.75,2625.34"
2024-12-23 12:00:00+07:00,"2625.62,2629.22,2624.96,2626.89"
2024-12-23 13:00:00+07:00,"2626.87,2633.11,2624.46,2631.32"
2024-12-23 14:00:00+07:00,"2631.36,2633.41,2629.43,2630.47"
2024-12-23 15:00:00+07:00,"2630.43,2632.13,2626.01,2629.84"
2024-12-23 16:00:00+07:00,"2629.94,2630.85,2625.93,2626.6"
2024-12-23 17:00:00+07:00,"2626.57,2627.15,2618.85,2619.46"
2024-12-23 18:00:00+07:00,"2619.43,2620.33,2612.94,2616.28"
2024-12-23 19:00:00+07:00,"2616.43,2618.65,2614.01,2615.05"
2024-12-23 20:00:00+07:00,"2614.83,2619.8,2614.07,2617.38"
2024-12-23 21:00:00+07:00,"2617.29,2619.97,2613.62,2615.66"
2024-12-23 22:00:00+07:00,"2615.74,2616.53,2609.2,2609.73"
2024-12-23 23:00:00+07:00,"2609.78,2616.2,2608.1,2616"
2024-12-24 00:00:00+07:00,"2616.01,2616.66,2610.76,2611.15"
2024-12-24 01:00:00+07:00,"2611.13,2612.82,2609.98,2610.49"
2024-12-24 02:00:00+07:00,"2610.57,2612.62,2609.63,2611"
2024-12-24 03:00:00+07:00,"2611.01,2612.62,2608.96,2610.72"
2024-12-24 04:00:00+07:00,"2610.89,2613.75,2610.12,2612.69"
2024-12-24 06:00:00+07:00,"2613.48,2617.09,2612.75,2615.42"
2024-12-24 07:00:00+07:00,"2615.42,2617.43,2613.37,2616.7"
2024-12-24 08:00:00+07:00,"2616.81,2618.06,2614.57,2617.63"
2024-12-24 09:00:00+07:00,"2617.35,2619.94,2616.76,2616.85"
2024-12-24 10:00:00+07:00,"2616.86,2618.77,2615.67,2618.76"
2024-12-24 11:00:00+07:00,"2618.72,2620.37,2618.1,2620.15"
2024-12-24 12:00:00+07:00,"2620.09,2621.52,2618.3,2619.33"
2024-12-24 13:00:00+07:00,"2619.29,2619.79,2616.47,2619.02"
2024-12-24 14:00:00+07:00,"2618.75,2621.47,2618,2618.4"
2024-12-24 15:00:00+07:00,"2618.35,2620.02,2616.92,2617.35"
2024-12-30 06:00:00+07:00,"2619.46,2626.26,2619.46,2623.86"
2024-12-30 07:00:00+07:00,"2623.89,2625.65,2621.51,2622.56"
2024-12-30 08:00:00+07:00,"2622.78,2626.87,2621.93,2624.28"
2024-12-30 09:00:00+07:00,"2624.29,2625.57,2622.42,2623.94"
2024-12-30 10:00:00+07:00,"2623.93,2628.12,2623.21,2626.62"
2024-12-30 11:00:00+07:00,"2626.57,2626.62,2621.54,2622.22"
2024-12-30 12:00:00+07:00,"2622.19,2624.22,2620.47,2623.76"
2024-12-30 13:00:00+07:00,"2623.5,2624.6,2618.34,2619.22"
2024-12-30 14:00:00+07:00,"2619.22,2620.02,2615.84,2616.81"
2024-12-30 15:00:00+07:00,"2616.91,2617.62,2609.39,2611.95"
2024-12-30 16:00:00+07:00,"2611.96,2617.55,2611.25,2612.77"
2024-12-30 17:00:00+07:00,"2612.87,2615.28,2610.55,2610.62"
2024-12-30 18:00:00+07:00,"2610.47,2618.61,2609.09,2616.31"
2024-12-30 19:00:00+07:00,"2616.3,2622.45,2615.54,2621.6"
2024-12-30 20:00:00+07:00,"2621.55,2622.5,2606.5,2606.5"
2024-12-30 21:00:00+07:00,"2606.45,2613.8,2605.25,2611.53"
2024-12-30 22:00:00+07:00,"2611.45,2611.58,2599.45,2601.62"
2024-12-30 23:00:00+07:00,"2601.62,2602.97,2596.15,2599.75"
2024-12-31 00:00:00+07:00,"2599.74,2605.57,2599.74,2605"
2024-12-31 01:00:00+07:00,"2605.05,2606.92,2603.51,2606.2"
2024-12-31 02:00:00+07:00,"2606.32,2608.42,2603.59,2607.17"
2024-12-31 03:00:00+07:00,"2607.17,2609.52,2606.49,2607.87"
2024-12-31 04:00:00+07:00,"2607.82,2608.16,2605.54,2605.85"
2024-12-31 06:00:00+07:00,"2606.35,2607.31,2603.82,2606.89"
2024-12-31 07:00:00+07:00,"2606.88,2608.73,2605.02,2607.85"
