Date,Message
2025-12-22T17:45:00.000+07:00,"25468.4,25474.8,25467,25467.6"
2025-12-22T18:00:00.000+07:00,"25467.8,25477.7,25465.7,25473.5"
2025-12-22T18:15:00.000+07:00,"25473.6,25480.5,25468.8,25476.8"
2025-12-22T18:30:00.000+07:00,"25476.6,25479.3,25465,25476.8"
2025-12-22T18:45:00.000+07:00,"25476.7,25476.9,25460.7,25461.6"
2025-12-22T19:00:00.000+07:00,"25462.6,25484.6,25459,25472"
2025-12-22T19:15:00.000+07:00,"25472.1,25492.4,25467.9,25488.7"
2025-12-22T19:30:00.000+07:00,"25488.8,25500.5,25480.4,25495.4"
2025-12-22T19:45:00.000+07:00,"25495.2,25497.7,25483.1,25496.6"
2025-12-22T20:00:00.000+07:00,"25497.5,25506.9,25492.7,25503.2"
2025-12-22T20:15:00.000+07:00,"25503.1,25518.4,25500.4,25509.5"
2025-12-22T20:30:00.000+07:00,"25509.4,25511.6,25491.7,25498"
2025-12-22T20:45:00.000+07:00,"25498.1,25514.5,25495.2,25513.4"
2025-12-22T21:00:00.000+07:00,"25514.1,25530.2,25509.8,25520.5"
2025-12-22T21:15:00.000+07:00,"25520.6,25545.5,25518.6,25540.7"
2025-12-22T21:30:00.000+07:00,"25541.7,25556.6,25433.5,25455"
2025-12-22T21:45:00.000+07:00,"25452.2,25520.4,25447.7,25508.9"
2025-12-22T22:00:00.000+07:00,"25509,25515.5,25438.5,25438.5"
2025-12-22T22:15:00.000+07:00,"25439,25476.6,25436.6,25449.8"
2025-12-22T22:30:00.000+07:00,"25449.4,25458.4,25391,25439.3"
2025-12-22T22:45:00.000+07:00,"25439.1,25451.7,25421.4,25435.6"
2025-12-22T23:00:00.000+07:00,"25436.3,25469,25434.8,25468.2"
2025-12-22T23:15:00.000+07:00,"25468.1,25482.5,25464.3,25473.6"
2025-12-22T23:30:00.000+07:00,"25472.8,25473.7,25452.7,25452.8"
2025-12-22T23:45:00.000+07:00,"25452.9,25475.8,25451.2,25475.8"
