(venv) PS C:\Users\weivo\OneDrive\เอกสาร\Price Action Trading\david> & "c:\Users\weivo\OneDrive\เอกสาร\Price Action Trading\david\venv\Scripts\python.exe" "c:/Users/weivo/OneDrive/เอกสาร/Price Action Trading/david/detect_ttr_v2.py"
Symbol: XAUUSD
Exchange: GO Markets
Timeframe: 1m
Start datetime: 2026-05-13 19:14
End datetime: 2026-05-13 23:40
version=2026-05-17-detect-ttr-v2-absolute-stair
bars_loaded=267 start=2026-05-13 19:14:00 end=2026-05-13 23:40:00 resample=None
mode=both selection=weighted prefer=balanced anchor_pivots=True
raw_candidates=1966 selected_candidates=32
Detected TTR / overlap range candidates: 32
22) 2026-05-13 22:03:00 -> 2026-05-13 22:06:00 | bars=4 | stair_overlap_ttr_candidate | score=0.662 | adj=0.485 | body_adj=0.271 | eff=0.002 | range_units=1.90 | slope_u/bar=-0.096 | new_ext=0.333 | H=4686.16 L=4681.82
23) 2026-05-13 22:11:00 -> 2026-05-13 22:16:00 | bars=6 | absolute_overlap_ttr_candidate | score=0.856 | adj=0.792 | body_adj=0.627 | eff=0.042 | range_units=1.65 | slope_u/bar=-0.010 | new_ext=0.100 | H=4689.27 L=4685.43
24) 2026-05-13 22:17:00 -> 2026-05-13 22:31:00 | bars=15 | absolute_overlap_ttr_candidate | score=0.687 | adj=0.624 | body_adj=0.416 | eff=0.299 | range_units=3.18 | slope_u/bar=0.151 | new_ext=0.321 | H=4692.05 L=4684.95
25) 2026-05-13 22:41:00 -> 2026-05-13 22:53:00 | bars=13 | absolute_overlap_ttr_candidate | score=0.692 | adj=0.716 | body_adj=0.303 | eff=0.340 | range_units=3.18 | slope_u/bar=-0.160 | new_ext=0.250 | H=4700.41 L=4694.59
26) 2026-05-13 22:54:00 -> 2026-05-13 22:59:00 | bars=6 | absolute_overlap_ttr_candidate | score=0.786 | adj=0.706 | body_adj=0.588 | eff=0.075 | range_units=2.23 | slope_u/bar=-0.053 | new_ext=0.300 | H=4698.17 L=4694.49
27) 2026-05-13 23:00:00 -> 2026-05-13 23:05:00 | bars=6 | absolute_overlap_ttr_candidate | score=0.776 | adj=0.724 | body_adj=0.553 | eff=0.152 | range_units=2.40 | slope_u/bar=0.038 | new_ext=0.300 | H=4699.67 L=4694.96
28) 2026-05-13 23:06:00 -> 2026-05-13 23:13:00 | bars=8 | absolute_overlap_ttr_candidate | score=0.708 | adj=0.710 | body_adj=0.400 | eff=0.310 | range_units=2.53 | slope_u/bar=0.102 | new_ext=0.214 | H=4703.04 L=4698.06
29) 2026-05-13 23:14:00 -> 2026-05-13 23:16:00 | bars=3 | absolute_overlap_ttr_candidate | score=0.753 | adj=0.674 | body_adj=0.466 | eff=0.134 | range_units=1.44 | slope_u/bar=0.058 | new_ext=0.500 | H=4703.85 L=4700.75
30) 2026-05-13 23:17:00 -> 2026-05-13 23:20:00 | bars=4 | absolute_overlap_ttr_candidate | score=0.824 | adj=0.772 | body_adj=0.232 | eff=0.059 | range_units=1.56 | slope_u/bar=-0.015 | new_ext=0.333 | H=4702.64 L=4698.66
31) 2026-05-13 23:24:00 -> 2026-05-13 23:28:00 | bars=5 | stair_overlap_ttr_candidate | score=0.636 | adj=0.670 | body_adj=0.378 | eff=0.496 | range_units=2.02 | slope_u/bar=0.267 | new_ext=0.125 | H=4710.24 L=4703.36
32) 2026-05-13 23:29:00 -> 2026-05-13 23:34:00 | bars=6 | stair_overlap_ttr_candidate | score=0.660 | adj=0.768 | body_adj=0.391 | eff=0.500 | range_units=3.24 | slope_u/bar=-0.324 | new_ext=0.300 | H=4709.90 L=4702.23
