Date,open,high,low,close,bar_range,body,body_ratio,upper_tail,lower_tail,upper_tail_ratio,lower_tail_ratio,close_location,bull_bar,bear_bar,doji_bar,bar_direction,inside_bar,outside_bar,buy_trigger_prev_high,sell_trigger_prev_low,close_above_prev_high,close_below_prev_low,overlaps_prev_bar,break_above_prior_high,break_below_prior_low,close_above_prior_high,close_below_prior_low,strong_bull_bar,strong_bear_bar,bull_reversal_bar,bear_reversal_bar,bull_breakout_bar,bear_breakout_bar,bar_context
2026-05-13 18:47:00,4705.23,4705.31,4703.54,4703.57,1.7700000000004366,1.6599999999998545,0.9378531073443193,0.08000000000083674,0.02999999999974534,0.04519774011345593,0.016949152542224826,0.016949152542224826,False,True,False,bear,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,bear
2026-05-13 18:48:00,4703.57,4704.12,4703.05,4703.34,1.069999999999709,0.22999999999956344,0.21495327102768785,0.5500000000001819,0.2899999999999636,0.5140186915890949,0.2710280373832173,0.2710280373832173,False,True,True,bear,False,False,False,True,False,True,True,False,True,False,True,False,False,False,True,False,False,bear|doji|bear_reversal|sell_trigger
2026-05-13 18:49:00,4703.33,4703.72,4702.24,4702.24,1.480000000000473,1.0900000000001455,0.7364864864863495,0.3900000000003274,0.0,0.26351351351365054,0.0,0.0,False,True,False,bear,False,False,False,True,False,True,True,False,True,False,True,False,True,False,False,False,True,bear|bear_breakout_bar|sell_trigger
2026-05-13 18:50:00,4702.23,4702.23,4701.22,4701.9,1.0099999999993088,0.32999999999992724,0.3267326732674783,0.0,0.6799999999993815,0.0,0.6732673267325217,0.6732673267325217,False,True,False,bear,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,bear|bull_reversal|sell_trigger
2026-05-13 18:51:00,4701.89,4702.3,4701.25,4702.0,1.050000000000182,0.10999999999967258,0.10476190476157479,0.3000000000001819,0.6400000000003274,0.28571428571440943,0.6095238095240157,0.7142857142855905,True,False,True,bull,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,bull|doji|bull_reversal|buy_trigger
2026-05-13 18:52:00,4702.03,4702.37,4699.82,4700.73,2.550000000000182,1.300000000000182,0.5098039215686624,0.3400000000001455,0.9099999999998545,0.13333333333338088,0.3568627450979567,0.3568627450979567,False,True,False,bear,False,True,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,bear|outside|buy_trigger|sell_trigger
2026-05-13 18:53:00,4700.72,4701.2,4700.48,4700.79,0.7200000000002547,0.06999999999970896,0.09722222222178362,0.4099999999998545,0.24000000000069122,0.569444444444041,0.3333333333341755,0.4305555555559591,True,False,True,bull,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,bull|doji|inside|bear_reversal
2026-05-13 18:54:00,4700.72,4701.43,4700.47,4701.21,0.9600000000000364,0.4899999999997817,0.5104166666664199,0.22000000000025466,0.25,0.22916666666692326,0.2604166666666568,0.7708333333330768,True,False,False,bull,False,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,bull|outside|buy_trigger|sell_trigger
2026-05-13 18:55:00,4701.22,4701.22,4698.67,4699.07,2.550000000000182,2.1500000000005457,0.8431372549021147,0.0,0.3999999999996362,0.0,0.15686274509788536,0.15686274509788536,False,True,False,bear,False,False,False,True,False,True,True,False,True,False,True,False,True,False,False,False,True,bear|bear_breakout_bar|sell_trigger
2026-05-13 18:56:00,4699.05,4699.17,4697.35,4698.81,1.819999999999709,0.23999999999978172,0.13186813186803303,0.11999999999989086,1.4600000000000364,0.06593406593401652,0.8021978021979504,0.8021978021979504,False,True,True,bear,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,bear|doji|bull_reversal|sell_trigger
2026-05-13 18:57:00,4698.82,4699.73,4698.59,4699.47,1.139999999999418,0.6500000000005457,0.570175438597261,0.2599999999993088,0.22999999999956344,0.22807017543810662,0.20175438596463235,0.7719298245618934,True,False,False,bull,False,False,True,False,True,False,True,True,False,True,False,True,False,False,False,True,False,bull|bull_breakout_bar|buy_trigger
2026-05-13 18:58:00,4699.51,4699.8,4697.48,4697.97,2.3200000000006185,1.5399999999999636,0.6637931034480832,0.2899999999999636,0.4900000000006912,0.124999999999951,0.21120689655196578,0.21120689655196578,False,True,False,bear,False,True,True,True,False,True,True,True,True,False,True,False,True,False,False,False,True,bear|outside|bear_breakout_bar|buy_trigger|sell_trigger
2026-05-13 18:59:00,4697.98,4698.45,4697.41,4697.41,1.0399999999999636,0.569999999999709,0.5480769230766624,0.47000000000025466,0.0,0.4519230769233376,0.0,0.0,False,True,False,bear,False,False,False,True,False,True,True,False,True,False,True,False,False,False,True,False,False,bear|bear_reversal|sell_trigger
2026-05-13 19:00:00,4697.4,4697.68,4696.37,4697.14,1.3100000000004002,0.2599999999993088,0.1984732824421598,0.28000000000065484,0.7700000000004366,0.21374045801570177,0.5877862595421385,0.5877862595421385,False,True,True,bear,False,False,False,True,False,True,True,False,True,False,True,False,False,True,False,False,False,bear|doji|bull_reversal|sell_trigger
