start,end,bars,high,low,range_height,adjacent_overlap_count,adjacent_pairs,adjacent_overlap_ratio,anchor_context
2026-05-13 18:48:00,2026-05-13 19:00:00,13,4704.12,4696.37,7.75,11,12,0.9166666666666666,bear|doji|bear_reversal|sell_trigger
2026-05-13 18:50:00,2026-05-13 19:02:00,13,4702.37,4694.7,7.670000000000073,12,12,1.0,bear|bull_reversal|sell_trigger
2026-05-13 18:51:00,2026-05-13 19:03:00,13,4702.37,4694.7,7.670000000000073,12,12,1.0,bull|doji|bull_reversal|buy_trigger
2026-05-13 18:52:00,2026-05-13 19:04:00,13,4702.37,4694.7,7.670000000000073,12,12,1.0,bear|outside|buy_trigger|sell_trigger
2026-05-13 18:53:00,2026-05-13 19:05:00,13,4701.43,4694.7,6.730000000000473,12,12,1.0,bull|doji|inside|bear_reversal
2026-05-13 18:54:00,2026-05-13 19:06:00,13,4701.43,4694.7,6.730000000000473,12,12,1.0,bull|outside|buy_trigger|sell_trigger
2026-05-13 18:56:00,2026-05-13 19:08:00,13,4701.71,4694.7,7.010000000000218,12,12,1.0,bear|doji|bull_reversal|sell_trigger
2026-05-13 18:58:00,2026-05-13 19:10:00,13,4701.71,4694.7,7.010000000000218,12,12,1.0,bear|outside|bear_breakout_bar|buy_trigger|sell_trigger
2026-05-13 18:59:00,2026-05-13 19:11:00,13,4701.71,4694.7,7.010000000000218,12,12,1.0,bear|bear_reversal|sell_trigger
2026-05-13 19:00:00,2026-05-13 19:12:00,13,4701.71,4694.7,7.010000000000218,12,12,1.0,bear|doji|bull_reversal|sell_trigger
2026-05-13 19:01:00,2026-05-13 19:13:00,13,4701.71,4694.7,7.010000000000218,12,12,1.0,bear|doji|bull_reversal|sell_trigger
2026-05-13 19:02:00,2026-05-13 19:14:00,13,4701.71,4693.39,8.319999999999709,12,12,1.0,bull|bear_reversal|buy_trigger
2026-05-13 19:03:00,2026-05-13 19:15:00,13,4701.71,4691.47,10.239999999999782,12,12,1.0,bull|inside|bull_reversal
2026-05-13 19:05:00,2026-05-13 19:17:00,13,4701.71,4689.12,12.590000000000146,12,12,1.0,bull|bull_reversal|buy_trigger
2026-05-13 19:06:00,2026-05-13 19:18:00,13,4701.71,4689.12,12.590000000000146,12,12,1.0,bear|doji|inside|bull_reversal
2026-05-13 19:07:00,2026-05-13 19:19:00,13,4701.71,4689.12,12.590000000000146,12,12,1.0,bull|bear_reversal|buy_trigger
2026-05-13 19:09:00,2026-05-13 19:21:00,13,4699.83,4687.24,12.590000000000146,12,12,1.0,bear|doji|bull_reversal|sell_trigger
2026-05-13 19:10:00,2026-05-13 19:22:00,13,4699.37,4684.98,14.390000000000327,12,12,1.0,bear|sell_trigger
2026-05-13 19:11:00,2026-05-13 19:23:00,13,4699.04,4684.98,14.0600000000004,12,12,1.0,bull|doji|inside|bull_reversal
2026-05-13 19:12:00,2026-05-13 19:24:00,13,4699.04,4684.98,14.0600000000004,12,12,1.0,bear|bear_reversal|buy_trigger
2026-05-13 19:16:00,2026-05-13 19:28:00,13,4694.28,4683.14,11.139999999999418,12,12,1.0,bear|doji|bull_reversal|sell_trigger
2026-05-13 19:17:00,2026-05-13 19:29:00,13,4694.28,4683.14,11.139999999999418,12,12,1.0,bear|doji|bear_reversal|buy_trigger
2026-05-13 19:18:00,2026-05-13 19:30:00,13,4694.28,4674.88,19.399999999999636,12,12,1.0,bull|outside|bull_breakout_bar|buy_trigger|sell_trigger
2026-05-13 19:20:00,2026-05-13 19:32:00,13,4693.35,4674.88,18.470000000000255,12,12,1.0,bear|bear_reversal|sell_trigger
2026-05-13 19:21:00,2026-05-13 19:33:00,13,4690.79,4674.88,15.909999999999854,12,12,1.0,bear|doji|bull_reversal|sell_trigger
2026-05-13 19:22:00,2026-05-13 19:34:00,13,4690.69,4674.88,15.80999999999949,12,12,1.0,bear|bull_reversal|sell_trigger
2026-05-13 19:23:00,2026-05-13 19:35:00,13,4690.69,4674.88,15.80999999999949,12,12,1.0,bull|bear_reversal|buy_trigger
2026-05-13 19:24:00,2026-05-13 19:36:00,13,4690.37,4674.88,15.489999999999782,12,12,1.0,bear|inside|bear_reversal
2026-05-13 19:25:00,2026-05-13 19:37:00,13,4689.11,4674.88,14.229999999999563,12,12,1.0,bull|doji|sell_trigger
2026-05-13 19:27:00,2026-05-13 19:39:00,13,4688.25,4674.88,13.36999999999989,12,12,1.0,bull|bull_reversal|sell_trigger
2026-05-13 19:28:00,2026-05-13 19:40:00,13,4688.25,4674.88,13.36999999999989,12,12,1.0,bear|outside|buy_trigger|sell_trigger
2026-05-13 19:29:00,2026-05-13 19:41:00,13,4688.25,4674.88,13.36999999999989,12,12,1.0,bull|doji|inside|bull_reversal
2026-05-13 19:30:00,2026-05-13 19:42:00,13,4688.25,4674.88,13.36999999999989,12,12,1.0,bear|outside|buy_trigger|sell_trigger
2026-05-13 19:31:00,2026-05-13 19:43:00,13,4686.01,4676.09,9.920000000000073,12,12,1.0,bull|doji|inside|bull_reversal
2026-05-13 19:32:00,2026-05-13 19:44:00,13,4686.01,4676.09,9.920000000000073,12,12,1.0,bull|doji|bull_reversal|sell_trigger
2026-05-13 19:33:00,2026-05-13 19:45:00,13,4686.01,4677.04,8.970000000000255,12,12,1.0,bear|doji|inside|bull_reversal
2026-05-13 19:39:00,2026-05-13 19:51:00,13,4685.59,4677.23,8.360000000000582,12,12,1.0,bear|bull_reversal|sell_trigger
2026-05-13 19:40:00,2026-05-13 19:52:00,13,4685.59,4677.6,7.989999999999782,12,12,1.0,bull|doji|bear_reversal|buy_trigger
2026-05-13 19:42:00,2026-05-13 19:54:00,13,4685.59,4677.6,7.989999999999782,12,12,1.0,bear|bear_reversal|buy_trigger
2026-05-13 19:43:00,2026-05-13 19:55:00,13,4685.59,4677.6,7.989999999999782,12,12,1.0,bull|doji|bull_reversal|sell_trigger
2026-05-13 19:48:00,2026-05-13 20:00:00,13,4688.72,4678.65,10.070000000000618,12,12,1.0,bull|bear_reversal|buy_trigger
2026-05-13 19:51:00,2026-05-13 20:03:00,13,4690.64,4678.65,11.990000000000691,12,12,1.0,bear|outside|buy_trigger|sell_trigger
2026-05-13 19:54:00,2026-05-13 20:06:00,13,4690.64,4678.65,11.990000000000691,12,12,1.0,bear|doji|outside|bear_reversal|buy_trigger|sell_trigger
2026-05-13 19:55:00,2026-05-13 20:07:00,13,4690.64,4678.65,11.990000000000691,12,12,1.0,bear|bull_reversal|sell_trigger
2026-05-13 19:56:00,2026-05-13 20:08:00,13,4690.64,4678.75,11.890000000000327,12,12,1.0,bull|bull_reversal|buy_trigger
2026-05-13 19:58:00,2026-05-13 20:10:00,13,4690.64,4682.82,7.8200000000006185,12,12,1.0,bull|buy_trigger
2026-05-13 19:59:00,2026-05-13 20:11:00,13,4690.64,4682.82,7.8200000000006185,12,12,1.0,bear|bull_reversal|sell_trigger
2026-05-13 20:01:00,2026-05-13 20:13:00,13,4690.64,4685.25,5.390000000000327,12,12,1.0,bear|doji|bear_reversal|buy_trigger
2026-05-13 20:03:00,2026-05-13 20:15:00,13,4691.31,4685.25,6.0600000000004,12,12,1.0,bear|outside|buy_trigger|sell_trigger
2026-05-13 20:04:00,2026-05-13 20:16:00,13,4691.31,4685.25,6.0600000000004,12,12,1.0,bear|bull_reversal|sell_trigger
2026-05-13 20:05:00,2026-05-13 20:17:00,13,4691.31,4685.25,6.0600000000004,12,12,1.0,bull|doji|bull_reversal|sell_trigger
2026-05-13 20:06:00,2026-05-13 20:18:00,13,4691.92,4685.25,6.670000000000073,12,12,1.0,bull|doji|bear_reversal|buy_trigger
2026-05-13 20:07:00,2026-05-13 20:19:00,13,4692.27,4685.25,7.020000000000437,12,12,1.0,bull|doji|bear_reversal|sell_trigger
2026-05-13 20:08:00,2026-05-13 20:20:00,13,4693.43,4685.25,8.180000000000291,12,12,1.0,bear|bear_reversal|sell_trigger
2026-05-13 20:09:00,2026-05-13 20:21:00,13,4693.43,4685.25,8.180000000000291,12,12,1.0,bear|doji|sell_trigger
2026-05-13 20:10:00,2026-05-13 20:22:00,13,4693.43,4685.25,8.180000000000291,12,12,1.0,bull|bull_reversal|sell_trigger
2026-05-13 20:11:00,2026-05-13 20:23:00,13,4693.88,4686.54,7.3400000000001455,12,12,1.0,bear|doji|bull_reversal|buy_trigger
2026-05-13 20:13:00,2026-05-13 20:25:00,13,4694.68,4686.54,8.140000000000327,12,12,1.0,bull|doji|bull_reversal|buy_trigger
2026-05-13 20:14:00,2026-05-13 20:26:00,13,4694.68,4686.54,8.140000000000327,12,12,1.0,bull|bear_reversal|buy_trigger
2026-05-13 20:15:00,2026-05-13 20:27:00,13,4694.68,4686.54,8.140000000000327,12,12,1.0,bear|inside
2026-05-13 20:17:00,2026-05-13 20:29:00,13,4694.68,4686.54,8.140000000000327,12,12,1.0,bull|doji|bear_reversal|sell_trigger
2026-05-13 20:19:00,2026-05-13 20:31:00,13,4694.68,4684.75,9.930000000000291,12,12,1.0,bull|bull_reversal|buy_trigger
2026-05-13 20:20:00,2026-05-13 20:32:00,13,4694.68,4684.75,9.930000000000291,12,12,1.0,bull|doji|bull_reversal|buy_trigger
2026-05-13 20:21:00,2026-05-13 20:33:00,13,4694.68,4684.64,10.039999999999964,12,12,1.0,bear|doji|bull_reversal|sell_trigger
2026-05-13 20:22:00,2026-05-13 20:34:00,13,4694.68,4682.34,12.340000000000146,12,12,1.0,bull|bull_reversal|buy_trigger
2026-05-13 20:24:00,2026-05-13 20:36:00,13,4694.68,4675.32,19.360000000000582,12,12,1.0,bull|bull_breakout_bar|buy_trigger
2026-05-13 20:25:00,2026-05-13 20:37:00,13,4694.67,4675.32,19.350000000000364,12,12,1.0,bear|sell_trigger
2026-05-13 20:26:00,2026-05-13 20:38:00,13,4693.84,4673.7,20.140000000000327,12,12,1.0,bear|doji|inside|bull_reversal
2026-05-13 20:28:00,2026-05-13 20:40:00,13,4690.98,4673.12,17.859999999999673,12,12,1.0,bear|bull_reversal|sell_trigger
2026-05-13 20:29:00,2026-05-13 20:41:00,13,4690.98,4673.12,17.859999999999673,12,12,1.0,bear|inside|bear_reversal
2026-05-13 20:30:00,2026-05-13 20:42:00,13,4690.98,4673.12,17.859999999999673,12,12,1.0,bear|doji|bear_reversal|sell_trigger
2026-05-13 20:31:00,2026-05-13 20:43:00,13,4690.98,4673.12,17.859999999999673,12,12,1.0,bear|bear_breakout_bar|sell_trigger
2026-05-13 20:32:00,2026-05-13 20:44:00,13,4690.98,4673.12,17.859999999999673,12,12,1.0,bull|bear_reversal|buy_trigger
2026-05-13 20:36:00,2026-05-13 20:48:00,13,4683.72,4669.56,14.159999999999854,12,12,1.0,bear|bull_reversal|sell_trigger
2026-05-13 20:37:00,2026-05-13 20:49:00,13,4683.72,4669.31,14.409999999999854,12,12,1.0,bear|doji|inside|bull_reversal
2026-05-13 20:39:00,2026-05-13 20:51:00,13,4683.72,4669.31,14.409999999999854,12,12,1.0,bear|sell_trigger
2026-05-13 20:40:00,2026-05-13 20:52:00,13,4683.72,4669.31,14.409999999999854,12,12,1.0,bull|bull_breakout_bar|buy_trigger
2026-05-13 20:41:00,2026-05-13 20:53:00,13,4683.72,4669.31,14.409999999999854,12,12,1.0,bull|doji|bear_reversal|buy_trigger
2026-05-13 20:42:00,2026-05-13 20:54:00,13,4683.72,4669.31,14.409999999999854,12,12,1.0,bull|buy_trigger
2026-05-13 20:43:00,2026-05-13 20:55:00,13,4683.72,4669.31,14.409999999999854,12,12,1.0,bear|doji|bear_reversal|buy_trigger
2026-05-13 20:45:00,2026-05-13 20:57:00,13,4683.31,4669.31,14.0,12,12,1.0,bear|doji|bull_reversal|sell_trigger
2026-05-13 20:48:00,2026-05-13 21:00:00,13,4683.31,4669.31,14.0,12,12,1.0,bear|bear_breakout_bar|sell_trigger
2026-05-13 20:49:00,2026-05-13 21:01:00,13,4683.31,4669.31,14.0,12,12,1.0,bull|bull_reversal|sell_trigger
2026-05-13 20:50:00,2026-05-13 21:02:00,13,4683.31,4670.04,13.270000000000437,12,12,1.0,bear|bear_reversal|buy_trigger
2026-05-13 20:54:00,2026-05-13 21:06:00,13,4683.31,4672.8,10.510000000000218,12,12,1.0,bull|bull_breakout_bar|buy_trigger
2026-05-13 20:55:00,2026-05-13 21:07:00,13,4683.31,4672.8,10.510000000000218,12,12,1.0,bear|buy_trigger
2026-05-13 20:59:00,2026-05-13 21:11:00,13,4682.03,4672.8,9.229999999999563,12,12,1.0,bear|bear_reversal|bear_breakout_bar|sell_trigger
2026-05-13 21:00:00,2026-05-13 21:12:00,13,4682.34,4672.8,9.539999999999964,12,12,1.0,bear|bear_breakout_bar|sell_trigger
2026-05-13 21:01:00,2026-05-13 21:13:00,13,4683.3,4672.8,10.5,12,12,1.0,bull|bull_reversal|sell_trigger
2026-05-13 21:02:00,2026-05-13 21:14:00,13,4683.3,4673.95,9.350000000000364,12,12,1.0,bull|doji|bull_reversal|buy_trigger
2026-05-13 21:03:00,2026-05-13 21:15:00,13,4683.3,4673.95,9.350000000000364,12,12,1.0,bear|bear_reversal|buy_trigger
2026-05-13 21:04:00,2026-05-13 21:16:00,13,4683.3,4673.95,9.350000000000364,12,12,1.0,bull|outside|buy_trigger|sell_trigger
2026-05-13 21:05:00,2026-05-13 21:17:00,13,4683.3,4673.95,9.350000000000364,12,12,1.0,bull|doji|bull_reversal|buy_trigger
2026-05-13 21:08:00,2026-05-13 21:20:00,13,4683.3,4673.48,9.820000000000618,12,12,1.0,bear|doji|inside|bull_reversal
2026-05-13 21:10:00,2026-05-13 21:22:00,13,4683.3,4673.48,9.820000000000618,12,12,1.0,bull|outside|buy_trigger|sell_trigger
2026-05-13 21:12:00,2026-05-13 21:24:00,13,4683.3,4673.48,9.820000000000618,12,12,1.0,bull|outside|bull_reversal|buy_trigger|sell_trigger
2026-05-13 21:13:00,2026-05-13 21:25:00,13,4685.12,4673.48,11.640000000000327,12,12,1.0,bear|doji|bear_reversal|buy_trigger
2026-05-13 21:14:00,2026-05-13 21:26:00,13,4685.64,4673.48,12.160000000000764,12,12,1.0,bull|inside|bull_reversal
2026-05-13 21:15:00,2026-05-13 21:27:00,13,4685.64,4673.48,12.160000000000764,12,12,1.0,bull|doji|bull_reversal|buy_trigger
2026-05-13 21:19:00,2026-05-13 21:31:00,13,4689.51,4673.48,16.030000000000655,12,12,1.0,bear|bear_reversal|sell_trigger
2026-05-13 21:20:00,2026-05-13 21:32:00,13,4689.51,4673.5,16.01000000000022,12,12,1.0,bull|buy_trigger
2026-05-13 21:22:00,2026-05-13 21:34:00,13,4690.61,4676.74,13.86999999999989,12,12,1.0,bear|doji|bear_reversal|buy_trigger
2026-05-13 21:23:00,2026-05-13 21:35:00,13,4690.64,4677.05,13.590000000000146,12,12,1.0,bull|doji|bear_reversal|buy_trigger
2026-05-13 21:26:00,2026-05-13 21:38:00,13,4691.16,4683.06,8.099999999999454,12,12,1.0,bull|doji|bear_reversal|buy_trigger
2026-05-13 21:27:00,2026-05-13 21:39:00,13,4691.16,4683.06,8.099999999999454,12,12,1.0,bull|doji|inside|bear_reversal
2026-05-13 21:28:00,2026-05-13 21:40:00,13,4691.16,4683.06,8.099999999999454,12,12,1.0,bull|doji|outside|bull_reversal|bear_reversal|buy_trigger|sell_trigger
2026-05-13 21:29:00,2026-05-13 21:41:00,13,4691.16,4683.06,8.099999999999454,12,12,1.0,bull|doji|bear_reversal|buy_trigger
2026-05-13 21:30:00,2026-05-13 21:42:00,13,4691.16,4683.06,8.099999999999454,12,12,1.0,bear|bull_reversal|sell_trigger
2026-05-13 21:32:00,2026-05-13 21:44:00,13,4691.16,4683.5,7.6599999999998545,12,12,1.0,bull|doji|inside|bull_reversal
2026-05-13 21:33:00,2026-05-13 21:45:00,13,4691.16,4677.06,14.099999999999454,12,12,1.0,bear|bear_reversal|sell_trigger
2026-05-13 21:35:00,2026-05-13 21:47:00,13,4691.16,4677.06,14.099999999999454,12,12,1.0,bear|doji|outside|bull_reversal|buy_trigger
2026-05-13 21:36:00,2026-05-13 21:48:00,13,4691.16,4677.06,14.099999999999454,12,12,1.0,bear|outside|bear_breakout_bar|buy_trigger|sell_trigger
2026-05-13 21:37:00,2026-05-13 21:49:00,13,4688.64,4677.06,11.579999999999927,12,12,1.0,bear|bear_breakout_bar|sell_trigger
2026-05-13 21:38:00,2026-05-13 21:50:00,13,4688.64,4677.06,11.579999999999927,12,12,1.0,bull|doji|bull_reversal|sell_trigger
2026-05-13 21:39:00,2026-05-13 21:51:00,13,4688.64,4677.06,11.579999999999927,12,12,1.0,bull|doji|bull_reversal|buy_trigger
2026-05-13 21:40:00,2026-05-13 21:52:00,13,4688.64,4677.06,11.579999999999927,12,12,1.0,bull|bull_reversal|buy_trigger
2026-05-13 21:41:00,2026-05-13 21:53:00,13,4688.64,4677.06,11.579999999999927,12,12,1.0,bear|buy_trigger
2026-05-13 21:46:00,2026-05-13 21:58:00,13,4684.79,4678.25,6.539999999999964,12,12,1.0,bear|inside|bear_reversal
2026-05-13 21:47:00,2026-05-13 21:59:00,13,4684.79,4678.25,6.539999999999964,12,12,1.0,bull|outside|bull_breakout_bar|buy_trigger|sell_trigger
2026-05-13 21:49:00,2026-05-13 22:01:00,13,4683.47,4678.25,5.220000000000255,12,12,1.0,bull|bull_reversal|sell_trigger
