14) 2026-05-13 20:19:00 -> 2026-05-13 20:33:00 | bars=15 | stair_overlap_ttr_candidate | score=0.547 | adj=0.585 | body_adj=0.314 | eff=0.426 | range_units=4.71 | slope_u/bar=-0.250 | new_ext=0.571 | anchor=after_up_breakout_separator | H=4694.68 L=4684.64
15) 2026-05-13 20:20:00 -> 2026-05-13 20:22:00 | bars=3 | absolute_overlap_ttr_candidate | score=0.681 | adj=0.634 | body_adj=0.680 | eff=0.034 | range_units=1.51 | slope_u/bar=0.007 | new_ext=0.500 | anchor=doji_after_consecutive_pressure | H=4693.43 L=4690.37
16) 2026-05-13 20:25:00 -> 2026-05-13 20:33:00 | bars=9 | stair_overlap_ttr_candidate | score=0.489 | adj=0.639 | body_adj=0.247 | eff=0.661 | range_units=3.54 | slope_u/bar=-0.344 | new_ext=0.625 | anchor=anchor_after_consecutive_pressure | H=4694.67 L=4684.64
17) 2026-05-13 20:27:00 -> 2026-05-13 20:33:00 | bars=7 | absolute_overlap_ttr_candidate | score=0.482 | adj=0.612 | body_adj=0.329 | eff=0.556 | range_units=2.68 | slope_u/bar=-0.246 | new_ext=0.667 | anchor=anchor_after_consecutive_pressure | H=4693.25 L=4684.64
18) 2026-05-13 20:28:00 -> 2026-05-13 20:33:00 | bars=6 | absolute_overlap_ttr_candidate | score=0.560 | adj=0.696 | body_adj=0.395 | eff=0.500 | range_units=1.77 | slope_u/bar=-0.208 | new_ext=0.800 | anchor=reversal_bar_after_consecutive_pressure | H=4690.98 L=4684.64
19) 2026-05-13 20:31:00 -> 2026-05-13 20:33:00 | bars=3 | absolute_overlap_ttr_candidate | score=0.721 | adj=0.771 | body_adj=0.981 | eff=0.112 | range_units=1.52 | slope_u/bar=0.046 | new_ext=1.000 | anchor=climax_anchor_bar_not_strong_breakout_close | H=4690.98 L=4684.64
20) 2026-05-13 20:35:00 -> 2026-05-13 21:23:00 | bars=49 | stair_overlap_ttr_candidate | score=0.689 | adj=0.631 | body_adj=0.322 | eff=0.026 | range_units=4.23 | slope_u/bar=0.008 | new_ext=0.125 | anchor=anchor_after_consecutive_pressure | H=4684.29 L=4669.31
21) 2026-05-13 20:36:00 -> 2026-05-13 21:23:00 | bars=48 | stair_overlap_ttr_candidate | score=0.692 | adj=0.643 | body_adj=0.329 | eff=0.013 | range_units=4.11 | slope_u/bar=0.010 | new_ext=0.170 | anchor=after_down_breakout_separator | H=4683.72 L=4669.31
22) 2026-05-13 20:40:00 -> 2026-05-13 21:23:00 | bars=44 | stair_overlap_ttr_candidate | score=0.698 | adj=0.640 | body_adj=0.350 | eff=0.001 | range_units=4.11 | slope_u/bar=0.009 | new_ext=0.140 | anchor=climax_anchor_bar_not_strong_breakout_close | H=4683.72 L=4669.31
23) 2026-05-13 20:42:00 -> 2026-05-13 21:24:00 | bars=43 | stair_overlap_ttr_candidate | score=0.698 | adj=0.631 | body_adj=0.358 | eff=0.006 | range_units=4.14 | slope_u/bar=0.014 | new_ext=0.095 | anchor=climax_anchor_bar_not_strong_breakout_close | H=4683.72 L=4669.31
24) 2026-05-13 20:43:00 -> 2026-05-13 21:23:00 | bars=41 | stair_overlap_ttr_candidate | score=0.690 | adj=0.632 | body_adj=0.351 | eff=0.039 | range_units=4.24 | slope_u/bar=0.016 | new_ext=0.125 | anchor=doji_after_consecutive_pressure | H=4683.72 L=4669.31
25) 2026-05-13 20:44:00 -> 2026-05-13 21:23:00 | bars=40 | stair_overlap_ttr_candidate | score=0.693 | adj=0.632 | body_adj=0.360 | eff=0.017 | range_units=4.14 | slope_u/bar=0.020 | new_ext=0.154 | anchor=anchor_after_consecutive_pressure | H=4683.31 L=4669.31
26) 2026-05-13 20:45:00 -> 2026-05-13 20:52:00 | bars=8 | absolute_overlap_ttr_candidate | score=0.613 | adj=0.620 | body_adj=0.351 | eff=0.073 | range_units=2.53 | slope_u/bar=-0.066 | new_ext=0.429 | anchor=doji_after_consecutive_pressure | H=4679.33 L=4669.31
27) 2026-05-13 20:55:00 -> 2026-05-13 21:00:00 | bars=6 | absolute_overlap_ttr_candidate | score=0.486 | adj=0.490 | body_adj=0.259 | eff=0.386 | range_units=2.49 | slope_u/bar=-0.182 | new_ext=0.400 | anchor=anchor_after_consecutive_pressure | H=4683.31 L=4674.97
28) 2026-05-13 21:01:00 -> 2026-05-13 21:10:00 | bars=10 | absolute_overlap_ttr_candidate | score=0.652 | adj=0.756 | body_adj=0.463 | eff=0.200 | range_units=2.38 | slope_u/bar=0.118 | new_ext=0.556 | anchor=anchor_after_consecutive_pressure | H=4680.91 L=4672.80
